movie_id,director_id,name,gender
862,7879,John Lasseter,2.0
8844,4945,Joe Johnston,2.0
15602,26502,Howard Deutch,2.0
31357,2178,Forest Whitaker,2.0
11862,56106,Charles Shyer,2.0
949,638,Michael Mann,2.0
11860,2226,Sydney Pollack,2.0
45325,18357,Peter Hewitt,2.0
9091,37710,Peter Hyams,2.0
710,10702,Martin Campbell,2.0
9087,3026,Rob Reiner,2.0
12110,14639,Mel Brooks,2.0
21032,21879,Simon Wells,2.0
10858,1152,Oliver Stone,2.0
1408,16938,Renny Harlin,2.0
524,1032,Martin Scorsese,2.0
4584,1614,Ang Lee,2.0
5,3110,Allison Anders,1.0
5,3111,Alexandre Rockwell,2.0
5,2294,Robert Rodriguez,2.0
5,138,Quentin Tarantino,2.0
9273,4489,Steve Oedekerk,2.0
11517,52629,Joseph Ruben,2.0
8012,5174,Barry Sonnenfeld,2.0
1710,15148,Jon Amiel,2.0
9691,7187,Richard Donner,2.0
12665,56349,Victor Salva,2.0
451,6111,Mike Figgis,2.0
16420,56710,Oliver Parker,2.0
9263,15798,Lesli Linka Glatter,1.0
17015,7017,Roger Michell,2.0
902,2419,Jean-Pierre Jeunet,2.0
902,13680,Marc Caro,0.0
37557,607,Zhang Yimou,2.0
9909,60295,John N. Smith,2.0
63,280,Terry Gilliam,2.0
78802,2352,Jean-Jacques Annaud,2.0
9598,58137,Chris Noonan,2.0
47018,12952,Christopher Hampton,2.0
687,504,Tim Robbins,2.0
139405,77867,Stephen Low,2.0
33689,17167,Andy Tennant,2.0
9603,57434,Amy Heckerling,1.0
34615,16730,Darrell James Roodt,0.0
31174,33315,Richard Loncraine,2.0
11443,11447,Albert Hughes,2.0
11443,11448,Allen Hughes,2.0
35196,52405,Michael Hoffman,2.0
9312,4014,Paul W.S. Anderson,2.0
577,5216,Gus Van Sant,2.0
11861,3047,Jocelyn Moorhouse,1.0
807,7467,David Fincher,2.0
10530,65530,Mike Gabriel,2.0
10530,65531,Eric Goldberg,2.0
8391,55439,Patricia Rozema,1.0
629,9032,Bryan Singer,2.0
117164,100505,Richard W. Munchkin,2.0
11448,1243,Woody Allen,2.0
49133,128107,Gianni Amelio,2.0
26441,71338,Holly Goldberg Sloan,1.0
97406,140354,Ulu Grosbard,2.0
124057,30586,Robert Tinnell,2.0
9089,1038,Jodie Foster,1.0
11010,28898,Michael Radford,2.0
99040,38527,Robert Lepage,2.0
11359,7908,Frank Oz,2.0
17182,19304,John Schlesinger,2.0
2054,18356,Stephen Herek,2.0
10607,45649,Paris Barclay,2.0
19760,49361,Bill Bennett,2.0
9536,57870,Jason Bloom,2.0
11525,69721,Farhad Mann,2.0
