movieId,count,score
1,66008,3.89
2,26060,3.24
3,15497,3.18
4,2981,2.88
5,15258,3.08
6,27895,3.84
7,15157,3.37
8,1521,3.13
9,4423,3.01
10,32534,3.43
11,19475,3.66
12,4475,2.67
13,1838,3.33
14,6807,3.43
15,3125,2.73
16,20517,3.80
17,24292,3.95
18,6090,3.41
19,24212,2.63
20,4621,2.89
21,25507,3.57
22,11026,3.30
23,4796,3.16
24,9131,3.18
25,24619,3.67
26,3016,3.61
27,1850,3.42
28,3398,4.04
29,9897,3.92
30,1355,3.64
31,11638,3.24
32,53398,3.89
33,72,3.06
34,35238,3.62
35,1566,3.50
36,23751,3.93
37,90,2.94
38,684,2.89
39,28682,3.41
40,944,3.65
41,5071,3.85
42,2607,3.05
43,2656,3.47
44,12840,2.63
45,9632,3.37
46,3325,3.27
47,52658,4.07
48,15896,2.96
49,262,3.56
50,59271,4.30
51,34,2.59
52,10338,3.54
53,159,3.70
54,1050,2.85
55,976,3.23
56,83,2.06
57,2508,3.32
58,13347,3.97
59,203,3.60
60,7522,3.07
61,2454,3.34
62,23128,3.75
63,2677,3.11
64,2188,2.84
65,5778,2.40
66,2577,2.16
67,176,3.35
68,1314,3.46
69,5112,3.55
70,15200,3.31
71,1361,2.35
72,1307,3.48
73,3426,3.79
74,3816,3.30
75,596,2.46
76,3693,3.02
77,227,3.44
78,1278,3.17
79,6312,3.16
80,598,3.72
81,3425,3.27
82,2720,4.01
83,617,3.65
84,167,3.38
85,2830,3.54
86,4587,3.49
87,1093,2.41
88,5834,3.13
89,3453,3.14
90,225,3.34
92,2448,2.85
93,2159,2.51
94,4352,3.53
95,25604,3.11
96,511,3.69
97,2730,3.98
98,90,2.63
99,765,3.12
100,4436,3.23
101,4821,3.78
102,2102,2.44
103,1205,3.27
104,21500,3.40
105,11182,3.33
106,139,3.40
107,8057,3.20
108,136,3.04
109,18,2.33
110,66512,4.02
111,31391,4.09
112,13324,3.40
113,1150,3.12
114,254,3.62
115,50,3.38
116,1039,3.92
117,1311,3.59
118,1175,3.01
119,271,2.80
120,166,2.88
121,858,3.74
122,4079,2.86
123,2741,3.99
124,339,3.49
125,3658,3.74
126,1523,2.35
127,51,3.22
128,80,3.48
129,200,3.17
130,44,3.12
131,198,3.31
132,2201,2.77
133,21,2.50
134,37,3.64
135,7674,3.00
136,108,3.56
137,242,3.30
138,148,3.28
139,48,3.10
140,5633,3.31
141,25738,3.52
142,43,3.06
143,15,2.20
144,4661,3.47
145,14830,3.27
146,620,2.90
147,4967,3.60
148,372,2.91
149,1136,3.69
150,57416,3.88
151,13526,3.53
152,698,3.10
153,38187,2.91
154,3256,3.80
155,1319,3.40
156,1751,3.54
157,2743,2.79
158,15559,2.89
159,2458,3.41
160,15868,2.61
161,26029,3.75
162,6488,3.99
163,16823,3.43
